id;day;month;year;N1;N2;N3;N4;N5
5724;31;12;2021;7;11;18;24;38
5723;30;12;2021;5;14;22;35;41
5722;29;12;2021;9;24;25;27;40
5721;28;12;2021;9;12;13;24;25
5720;27;12;2021;4;16;30;35;40
5719;26;12;2021;6;7;27;38;41
5718;25;12;2021;2;6;10;13;23
5717;24;12;2021;5;12;15;27;31
5716;23;12;2021;1;2;21;28;30
5715;22;12;2021;8;12;24;26;27
5714;21;12;2021;4;25;30;31;39
5713;20;12;2021;2;6;23;25;26
5712;19;12;2021;3;11;19;22;36
5711;18;12;2021;6;15;18;39;40
5710;17;12;2021;4;5;21;22;27
5709;16;12;2021;21;24;27;31;34
5708;15;12;2021;10;28;34;37;40
5707;14;12;2021;5;9;16;36;39
5706;13;12;2021;1;3;7;21;27
5705;12;12;2021;1;2;11;32;41
5704;11;12;2021;14;19;21;37;39
5703;10;12;2021;3;4;15;18;25
5702;09;12;2021;8;14;15;16;27
5701;08;12;2021;2;5;21;36;40
5700;07;12;2021;11;15;19;29;38
5699;06;12;2021;10;12;31;36;42
5698;05;12;2021;4;21;24;27;30
5697;04;12;2021;9;10;19;30;31
5696;03;12;2021;7;19;21;30;32
5695;02;12;2021;7;16;25;26;30
5694;01;12;2021;5;19;22;23;39
5693;30;11;2021;4;15;24;28;34
5692;29;11;2021;3;18;27;36;37
5691;28;11;2021;1;17;20;24;39
5690;27;11;2021;20;27;29;36;42
5689;26;11;2021;9;10;19;23;25
5688;25;11;2021;4;14;22;23;29
5687;24;11;2021;13;16;19;26;33
5686;23;11;2021;11;16;23;28;36
5685;22;11;2021;8;22;29;37;38
5684;21;11;2021;3;6;12;25;42
5683;20;11;2021;5;9;33;41;42
5682;19;11;2021;1;12;29;31;32
5681;18;11;2021;9;10;26;35;42
5680;17;11;2021;1;2;4;17;20
5679;16;11;2021;9;15;18;19;34
5678;15;11;2021;5;8;19;30;36
5677;14;11;2021;4;6;13;32;41
5676;13;11;2021;1;12;13;31;36
5675;12;11;2021;7;18;21;29;35
5674;11;11;2021;1;18;21;29;41
5673;10;11;2021;3;11;16;19;39
5672;09;11;2021;15;27;29;34;37
5671;08;11;2021;2;3;11;26;29
5670;07;11;2021;10;21;23;26;32
5669;06;11;2021;11;30;31;36;40
5668;05;11;2021;14;15;24;36;40
5667;04;11;2021;5;24;25;27;29
5666;03;11;2021;5;13;23;29;41
5665;02;11;2021;3;17;20;25;28
5664;01;11;2021;1;3;18;22;32
5663;31;10;2021;2;3;8;36;38
5662;30;10;2021;6;8;20;34;36
5661;29;10;2021;10;16;26;28;34
5660;28;10;2021;5;13;14;22;31
5659;27;10;2021;15;22;28;32;42
5658;26;10;2021;9;16;20;22;34
5657;25;10;2021;5;19;22;32;35
5656;24;10;2021;16;23;27;41;42
5655;23;10;2021;1;19;25;34;36
5654;22;10;2021;3;18;30;41;42
5653;21;10;2021;3;6;8;9;39
5652;20;10;2021;12;17;18;20;36
5651;19;10;2021;10;11;17;30;33
5650;18;10;2021;9;12;18;23;29
5649;17;10;2021;1;18;19;36;39
5648;16;10;2021;8;11;19;40;41
5647;15;10;2021;9;11;17;21;29
5646;14;10;2021;4;15;32;39;40
5645;13;10;2021;1;24;26;29;41
5644;12;10;2021;12;13;21;26;40
5643;11;10;2021;16;17;25;26;42
5642;10;10;2021;4;5;16;22;33
5641;09;10;2021;5;6;14;30;37
5640;08;10;2021;2;11;16;25;39
5639;07;10;2021;12;15;23;31;39
5638;06;10;2021;11;26;30;36;37
5637;05;10;2021;1;10;26;37;39
5636;04;10;2021;4;12;18;19;30
5635;03;10;2021;7;8;17;20;36
5634;02;10;2021;9;10;12;14;41
5633;01;10;2021;15;18;23;26;29
5632;30;09;2021;3;15;28;33;34
5631;29;09;2021;6;10;24;39;42
5630;28;09;2021;8;9;24;26;39
5629;27;09;2021;19;23;29;41;42
5628;26;09;2021;12;16;38;40;41
5627;25;09;2021;6;10;20;36;38
5626;24;09;2021;13;16;27;35;37
5625;23;09;2021;2;4;6;27;36
5624;22;09;2021;7;9;11;19;28
5623;21;09;2021;18;21;34;38;40
5622;20;09;2021;4;7;22;32;35
5621;19;09;2021;1;7;19;33;40
5620;18;09;2021;1;12;18;25;35
5619;17;09;2021;4;21;31;36;37
